bin,count,mean_prediction,mean_true,calibration_error
1,10,4.770658111572265,4.77231113910675,-0.001653027534485041
2,10,5.3437315940856935,6.01003053188324,-0.6662989377975466
3,10,5.678551387786865,6.672576284408569,-0.9940248966217036
4,10,5.967077732086182,5.816259765625,0.15081796646118129
5,10,6.2217964172363285,5.990784692764282,0.23101172447204643
6,10,6.368576383590698,5.915583634376526,0.45299274921417165
7,10,6.560587167739868,6.276949834823609,0.2836373329162596
8,10,6.820758438110351,6.514266800880432,0.3064916372299189
9,10,7.106083154678345,7.2266922950744625,-0.12060914039611781
10,10,7.676407718658448,7.186571359634399,0.4898363590240482
