epoch,train_affinity_loss,train_contact_loss,train_loss,val_affinity_loss,val_contact_loss,val_loss
1.0,5.224711206555367,0.05138408036902547,5.229849616289139,4.4943521785736085,0.047516554147005084,4.499103832244873
2.0,4.231482712626457,0.04653614407405257,4.23613631784916,5.919074506759643,0.047012852132320405,5.9237758159637455
3.0,4.080493060350418,0.0462645385786891,4.085119508504867,3.0803547000885008,0.046739681661129,3.085028655529022
4.0,3.493278948068619,0.0459092528000474,3.4978698778152464,2.4581368017196654,0.04659930139780045,2.462796730995178
5.0,3.8663776832818986,0.04595094511285424,3.870972778201103,2.9647404241561888,0.046411673426628115,2.969381585121155
6.0,3.1913070952892304,0.04596216715872288,3.195903325676918,2.235926429033279,0.04619060918688774,2.240545519590378
7.0,3.4169698357582092,0.04575559390708804,3.421545398533344,2.328107388019562,0.04634241208434105,2.3327416372299195
8.0,3.614877640604973,0.04590713959187269,3.6194683504104614,2.939710035324097,0.04618333607912064,2.944328398704529
9.0,3.3007795006036758,0.045769447200000285,3.305356439948082,3.344221897125244,0.046392235308885574,3.348861117362976
10.0,3.2752793273329734,0.04595416622236371,3.2798747432231905,2.5339564943313597,0.04641026571393013,2.5385975003242494
11.0,3.0845857962965963,0.046020716149359944,3.089187867343426,2.457771592140198,0.04624596506357193,2.4623961877822875
12.0,3.0613899809122085,0.04586208214983344,3.0659761941432953,4.351615762710571,0.04637840241193771,4.356253619194031
13.0,2.8004075342416765,0.045904967617243525,2.8049980318546295,3.1183010578155517,0.04704692214727402,3.12300576210022
14.0,3.06034317612648,0.045866962652653456,3.0649298733472823,2.3207971143722532,0.046630678325891496,2.3254601526260377
15.0,2.977454023361206,0.04600808706134558,2.9820548301935195,2.649425401687622,0.04682528525590897,2.654107894897461
16.0,2.7957580053806304,0.04624624190852046,2.8003826290369034,2.6109181582927703,0.046734340339899066,2.6155916011333464
