bin,count,mean_prediction,mean_true,calibration_error
1,10,4.714010858535767,4.609472250938415,0.10453860759735178
2,10,5.234954595565796,6.172869420051574,-0.9379148244857785
3,10,5.600120687484742,6.631938934326172,-1.0318182468414303
4,10,5.922192049026489,5.621983003616333,0.30020904541015625
5,10,6.203802967071534,5.799430465698242,0.4043725013732917
6,10,6.369119644165039,6.151528143882752,0.21759150028228724
7,10,6.58076696395874,6.277648544311523,0.303118419647217
8,10,6.832790231704712,6.783479952812195,0.04931027889251638
9,10,7.210619497299194,7.147104263305664,0.0635152339935301
10,10,7.72293004989624,7.186571359634399,0.5363586902618405
