bin,count,mean_prediction,mean_true,calibration_error
1,10,4.443280935287476,4.6556216955184935,-0.2123407602310179
2,10,4.847329759597779,4.491711163520813,0.35561859607696533
3,10,5.241509246826172,5.722384071350097,-0.4808748245239256
4,10,5.565354633331299,5.521696329116821,0.04365830421447736
5,10,5.935226058959961,6.295091962814331,-0.3598659038543701
6,10,6.097831964492798,6.473112177848816,-0.37528021335601824
7,10,6.391704082489014,7.643010187149048,-1.251306104660034
8,10,6.687589168548584,6.490399956703186,0.19718921184539795
9,10,6.947960948944091,6.011225986480713,0.9367349624633787
10,10,7.363870525360108,7.284344959259033,0.07952556610107475
