ablation,val_rmse,test_rmse,test_mae,test_pcc
ablation_no_crossgraph,1.3525538021165042,1.549849624036019,1.1805033254623414,0.4760524102617353
ablation_no_attention,1.3291530022586697,1.5573564337597565,1.1701488924026489,0.4593424815894046
ablation_no_layernorm,1.3438938382970558,1.5938949141753,1.2589835381507875,0.4628850658413214
ablation_no_residual,1.3699029612860316,1.606574957418763,1.280825653076172,0.541332769603398
ablation_pooling_max,1.3826552148810742,1.55781845884656,1.2183324360847474,0.48962764987523455
