ablation,rmse_mean,rmse_std,mae_mean,mae_std,pcc_mean,spearman_mean,r2_mean,ci_low,ci_high,boot_low,boot_high,t_stat,p_val,cohen_d
ablation_no_crossgraph,1.6174799586196387,0.0606095691187759,1.276658806324005,0.04109348646987342,0.46007537900322876,0.4365372285400887,0.19111585906133916,1.5333403878656524,1.701619529373625,1.5671154070350013,1.6731519647087878,0.6007528898525485,0.5803860503109503,0.20172156109545633
ablation_no_attention,1.6000687787054066,0.055062556529342555,1.2666341462135315,0.03233073602372282,0.47687998470024173,0.4523695590509087,0.20725634668468657,1.5236296959276217,1.6765078614831916,1.5566526597474282,1.6570216880818562,-0.24871181450919083,0.8158316029486817,-0.07820003176142486
ablation_no_layernorm,1.6727925389073168,0.07637650228490905,1.311358069896698,0.06493497442611182,0.3924670567821749,0.38886616012114233,0.1347083810023199,1.5667649559467849,1.7788201218678488,1.6202222299262394,1.7496048046994197,1.8399062687030172,0.1396136140666234,0.9317579002013083
ablation_no_residual,1.5881174226352814,0.08302472960719952,1.2335706076622008,0.05132910016725498,0.5032817009453264,0.500891170958883,0.22149480550849052,1.4728606205711416,1.7033742246994212,1.5182237958127363,1.668087711865167,-0.42089524260355204,0.695461771047188,-0.2147978635644805
ablation_pooling_max,1.555595820725496,0.12828770679068033,1.2149268040657044,0.09671392233073933,0.560331211852162,0.5555324942420141,0.2547267395363037,1.377503932937479,1.7336877085135132,1.449455222030423,1.6638775280454277,-0.8859522981104871,0.42569358992544754,-0.44920791737405585
