bin,count,mean_prediction,mean_true,calibration_error
1,10,4.348954033851624,4.844428706169128,-0.4954746723175045
2,10,4.980363225936889,5.832380914688111,-0.8520176887512214
3,10,5.410803556442261,5.54080867767334,-0.1300051212310791
4,10,5.8842668533325195,5.723537731170654,0.1607291221618654
5,10,6.2013389587402346,6.052066087722778,0.14927287101745623
6,10,6.438882827758789,6.056598496437073,0.38228433132171613
7,10,6.816166782379151,6.192259836196899,0.6239069461822515
8,10,7.211538505554199,7.318834447860718,-0.10729594230651873
9,10,7.478321838378906,7.0616076469421385,0.4167141914367676
10,10,8.243599128723144,7.759503793716431,0.484095335006713
