bin,count,mean_prediction,mean_true,calibration_error
1,10,4.770973443984985,5.332659149169922,-0.5616857051849369
2,10,5.124158096313477,4.216035509109497,0.9081225872039793
3,10,5.6350264072418215,5.292847895622254,0.3421785116195677
4,10,5.878260231018066,5.041943430900574,0.8363168001174923
5,10,6.029917049407959,6.657610702514648,-0.6276936531066895
6,10,6.186289501190186,6.228115653991699,-0.04182615280151314
7,10,6.40292444229126,6.273589181900024,0.12933526039123588
8,10,6.645114421844482,6.742115020751953,-0.0970005989074707
9,10,7.0255372524261475,8.17347960472107,-1.1479423522949226
10,10,7.3945409774780275,7.296234083175659,0.09830689430236816
