bin,count,mean_prediction,mean_true,calibration_error
1,10,4.591091847419738,4.787515926361084,-0.1964240789413454
2,10,5.240717458724975,5.174256467819214,0.06646099090576119
3,10,5.516763544082641,5.607904744148255,-0.09114120006561333
4,10,5.858274745941162,5.63977370262146,0.21850104331970233
5,10,6.1461950778961185,5.987015557289124,0.1591795206069948
6,10,6.3830671310424805,6.329427027702332,0.05364010334014857
7,10,6.593169546127319,7.314638090133667,-0.7214685440063482
8,10,6.790458393096924,5.70049397945404,1.0899644136428837
9,10,7.0336432456970215,6.800849485397339,0.2327937602996828
10,10,7.267322301864624,7.2467235088348385,0.02059879302978551
