epoch,train_loss,train_mse,train_pcc,train_spearman,train_rmse,train_mae,train_median_absolute_error,train_r2,train_bias,val_loss,val_mse,val_pcc,val_spearman,val_rmse,val_mae,val_median_absolute_error,val_r2,val_bias,train_mean_prediction,val_mean_prediction
1.0,4.999688950777053,4.999688930299954,0.015261249172266544,0.03351446728927733,2.2359984191183933,1.7347575213061646,1.4295063018798828,-0.6002678601754217,-0.25147831842768936,3.5431634902954103,3.5431634558714182,0.36717672783138916,0.3413273006786539,1.8823292634051616,1.5895589518547057,1.4540693759918213,-0.13142159254721508,0.7145264506340027,6.0713010045839475,6.74016758441925
2.0,3.6968355295062065,3.6968355408963474,0.1125661575914905,0.1308541232878248,1.922715668240197,1.4971673978865148,1.2007460594177246,-0.18325903529677268,-0.07934114024043083,3.9629222774505615,3.962922201390809,0.4803126955008098,0.4711410081658872,1.9907089695359312,1.678864619731903,1.621558427810669,-0.26546116318970636,1.0027750468254089,6.2434381827712055,7.028416180610657
3.0,3.7383030420541763,3.738303038866735,0.08796613609299116,0.10282799151908084,1.9334691719463062,1.52488768145442,1.27667236328125,-0.19653168188919157,-0.07309501484036446,3.610888376235962,3.6108884019363865,0.4885414634411169,0.4705529370091476,1.9002337756014092,1.5415672373771667,1.4203706979751587,-0.1530478785727789,1.0825673270225524,6.249684308171272,7.1082084608078
4.0,3.3817911100387574,3.3817910904056725,0.21104285141482082,0.2168234955384261,1.838964678944561,1.4650325210392474,1.2470619678497314,-0.0824216600769907,-0.07456800386309624,2.68990816116333,2.6899081567780936,0.5539375349846649,0.5390392238649602,1.6400939475463268,1.3265634536743165,1.2088849544525146,0.1410443778696332,-0.5830085182189941,6.248211319148541,5.442632615566254
5.0,3.2381961977481843,3.2381962078780675,0.2564870782145213,0.23922576329565595,1.7994988768760227,1.4461898715794086,1.236645221710205,-0.03646074558849488,-0.0723438148200512,3.613095073699951,3.6130950363507854,0.5606161561321773,0.5434017517317942,1.900814308750538,1.5339053130149842,1.5200433731079102,-0.1537525126813668,1.1682576251029968,6.250435508191585,7.193898758888245
6.0,3.3036429953575133,3.3036429971691916,0.26414643757143386,0.25573124676238773,1.8175926378507345,1.4396660406887531,1.2066099643707275,-0.057408527523394426,-0.06659197255969047,2.171884922981262,2.1718848956658743,0.6195731249425391,0.593075762298027,1.4737316226728239,1.2197970128059388,1.2045972347259521,0.3064622905241712,-0.2303458571434021,6.256187350451946,5.795295276641846
7.0,3.2219915622472763,3.2219915758902142,0.28743072642421896,0.28939241060593196,1.7949906896388668,1.4186528231203557,1.173621654510498,-0.031274072553903576,-0.0886315344274044,2.2123213243484496,2.212321332419429,0.6027431982629244,0.5935138153025372,1.4873874184016178,1.2513901925086974,1.058929443359375,0.2935499148354832,0.3548892521858215,6.234147788584233,6.38053038597107
8.0,2.9008145536482335,2.9008145559956215,0.3635208667493491,0.353594594693918,1.703177781676247,1.3557955212891102,1.0857789516448975,0.07152617552740914,-0.06612455233931541,2.0296161460876463,2.02961614943426,0.6352908707930094,0.6012847555880254,1.424645973368212,1.214089424610138,1.1453020572662354,0.3518922949357175,0.33187499284744265,6.256654770672322,6.3575161266326905
9.0,2.9354264426231382,2.9354264506312693,0.3588239466477619,0.33537092871424884,1.7133086267894846,1.3969797377288342,1.2178221940994263,0.060447825786581255,-0.06345581606030465,2.016484594345093,2.0164845784642473,0.6589015820113461,0.618794874316253,1.4200297808370947,1.1830752730369567,1.193462610244751,0.3560855372528109,-0.14774340867996216,6.259323506951332,5.877897725105286
10.0,3.0366415840387346,3.036641586585382,0.33888325463328545,0.3229447180592712,1.7425962201799308,1.408659413009882,1.1886096000671387,0.028051544480150015,-0.10867412671446801,4.637034339904785,4.63703431561045,0.638571431193839,0.5879811458483132,2.1533774206140572,1.8091635870933533,1.7124700546264648,-0.4807221894801723,1.6622551989555359,6.214105196297169,7.687896332740784
11.0,2.8510597807168963,2.8510597950200856,0.39258831649474735,0.36342026380440584,1.6885081566341589,1.3841247056424617,1.1844327449798584,0.08745135527155856,-0.045604271441698076,1.8356101894378662,1.8356102186476102,0.6560563361376183,0.6449760422433458,1.3548469355051183,1.1500359606742858,1.0203450918197632,0.41384328926833747,0.08982036352157592,6.277175051569938,6.115461497306824
12.0,2.9534880328178406,2.953488035570456,0.375364938533528,0.3651283446693342,1.7185715101707162,1.3855297558009625,1.1969153881072998,0.05466679134925201,-0.05086275175213814,2.4753871154785156,2.475387135414008,0.6147675068232431,0.569084859393485,1.5733363071555961,1.3481874060630799,1.174351692199707,0.20954635883932426,0.6883523726463318,6.271916571259498,6.71399350643158
13.0,2.711610289812088,2.7116102875072596,0.44453965643072607,0.42018431852336185,1.6466967806816346,1.3016336403787137,1.090698003768921,0.13208544513216047,-0.08806585386395455,4.93824348449707,4.938243590885607,0.6577451663141277,0.6357589269703652,2.2222159190514335,1.8752317214012146,1.8753602504730225,-0.5769059196880113,1.7699533438682555,6.234713469147682,7.795594477653504
14.0,2.7415962153673172,2.741596250900179,0.44109017219536006,0.4123951158700429,1.655776630738633,1.3186434511840344,1.1278328895568848,0.12248773332587559,-0.06686333552002907,2.1122460842132567,2.112246058837919,0.6523158710720149,0.6223052990784234,1.4533568243339001,1.2489835000038148,1.167131781578064,0.32550647761346063,0.46181962251663206,6.2559159874916075,6.48746075630188
15.0,2.6029589915275575,2.6029590089571584,0.460434235587825,0.42364426187382415,1.6133688384734466,1.2937822403013706,1.1266188621520996,0.16686183851474923,-0.044258050173521045,2.097889919281006,2.0978899177204955,0.6379004830077238,0.6112699638004212,1.4484094440870288,1.2396495318412781,1.144404411315918,0.33009075611153316,0.48916827917099,6.278521272838116,6.514809412956238
16.0,2.7212616384029387,2.721261652204593,0.45589386464939285,0.4182419895818046,1.6496247004105489,1.3215695475041866,1.1184000968933105,0.12899629919782463,-0.1024536593258381,2.0115129852294924,2.0115129783688217,0.6047026577650257,0.5734893923429432,1.4182781738322077,1.1539920592308044,1.0805799961090088,0.35767309474699105,-0.07271389245986938,6.220325663685799,5.952927241325378
17.0,2.559554123878479,2.5595541282098746,0.4861556650474113,0.44128134085686205,1.5998606589981124,1.3017500083148479,1.1195743083953857,0.18075458996447935,-0.05770254090428353,2.0342101097106933,2.0342101120667824,0.6351961740339847,0.6192029236903173,1.426257379320711,1.129805383682251,0.9704838991165161,0.35042532662264747,-0.37307125568389893,6.265076782107354,5.652569878101349
18.0,2.383211342096329,2.383211343164916,0.5223061194310392,0.4864904930775986,1.5437653134997287,1.2525583223998547,1.0670816898345947,0.23719723974036155,-0.06395326271653175,2.026061706542969,2.0260617123106437,0.6523430814342114,0.632686555212705,1.4233979458713026,1.2105387663841247,1.1494293212890625,0.35302731649515107,0.4484029173851013,6.258826060295105,6.474044051170349
19.0,2.459726766347885,2.4597267712000597,0.5232227584137781,0.5040753177120604,1.5683516095570087,1.2571970935165881,1.0708422660827637,0.21270668002770754,-0.07794140741229057,1.895139307975769,1.8951393027171122,0.6302664677135259,0.598368402708684,1.37664058588911,1.1433745408058167,0.9763128757476807,0.39483414900720093,-0.08650840520858764,6.244837915599346,5.93913272857666
20.0,2.4267134779691695,2.4267134785331668,0.5274400027620979,0.49618228310274076,1.5577912178893443,1.2383405175805091,1.019862413406372,0.22327335966515893,-0.07503503084182739,1.829401798248291,1.8294017876198114,0.6578752107669921,0.6409195514070601,1.3525538021165042,1.1523335194587707,1.0998616218566895,0.4158257981218456,0.21526854753494262,6.247744292169809,6.240909681320191
