epoch,train_loss,train_mse,train_pcc,train_spearman,train_rmse,train_mae,train_median_absolute_error,train_r2,train_bias,val_loss,val_mse,val_pcc,val_spearman,val_rmse,val_mae,val_median_absolute_error,val_r2,val_bias,train_affinity_loss,train_contact_avg_prob,train_contact_f1,train_contact_loss,train_contact_pr_auc,train_contact_precision,train_contact_recall,train_contact_roc_auc,train_mean_prediction,train_neg_accuracy,train_pos_accuracy,train_scaled_contact_loss,val_affinity_loss,val_contact_avg_prob,val_contact_f1,val_contact_loss,val_contact_pr_auc,val_contact_precision,val_contact_recall,val_contact_roc_auc,val_mean_prediction,val_neg_accuracy,val_pos_accuracy,val_scaled_contact_loss
1.0,5.732624477744102,5.727323809071854,0.0004953695817799359,0.0012735455635329688,2.3931827780326045,1.850392380268313,1.4513208866119385,-0.9021050060858857,-0.3538942193100229,4.177789421081543,4.172604118410436,0.27893453552379843,0.3553407321541977,2.042695307286536,1.692261426448822,1.5207767486572266,-0.24624611803301377,0.9547814536094665,5.727323751449585,0.012569145299494267,0.00734341252699784,0.05300713727250695,0.005563348039950395,0.0081799591002045,0.0066620946409326936,0.48792472055343666,5.888045857935213,0.9953912697401224,0.0066620946409326936,0.005300713703036308,4.172604188919068,0.007113597355782986,0.0,0.05185276597738266,0.009564382212505343,0.0,0.0,0.5864486431391174,7.269123792648315,1.0,0.0,0.005185276549309492
2.0,3.684399713873863,3.6798064031343984,0.11968042574580363,0.11269365986252321,1.918282148990184,1.5510714957118035,1.3422915935516357,-0.22210275063234897,-0.0876505246758461,3.082352428436279,3.077191534364992,0.4058783879132011,0.4191276849346344,1.7541925590895064,1.428358256816864,1.3476314544677734,0.08092455087559236,0.08146262884140015,3.67980642914772,0.007851329632103443,0.0,0.04593276683241129,0.00584208262860476,0.0,0.0,0.5074812436748363,6.15428955256939,1.0,0.0,0.004593276679515839,3.077191562652588,0.008025605231523514,0.0,0.05160874545574188,0.008519604035425656,0.0,0.0,0.549600918524714,6.395804967880249,1.0,0.0,0.0051608745567500594
3.0,3.5245166647434236,3.519934295170127,0.1767514571587079,0.1649753208175532,1.876148793451662,1.5041803622245788,1.321876049041748,-0.1690075272732876,-0.11669731378555298,2.746709957122803,2.7415644543763613,0.47078819654521986,0.4559536989716561,1.6557670290159667,1.2900255560874938,1.1435446739196777,0.18116745283148872,-0.2658254170417786,3.5199342638254167,0.008036507293581963,0.0,0.04582390371710062,0.006175875458772442,0.0,0.0,0.5212444815937645,6.125242763459682,1.0,0.0,0.004582390368450433,2.7415645027160647,0.007759040221571922,0.0,0.05145499259233475,0.00862683961289255,0.0,0.0,0.54563994377061,6.04851692199707,1.0,0.0,0.005145499166101217
4.0,3.4005318692326547,3.3959541245137927,0.2265264357607101,0.22423748869562574,1.8428114728625369,1.4609848740696907,1.2285449504852295,-0.1278323971213564,-0.08663735538721085,3.0888276386260984,3.083659558123988,0.44740289059533034,0.42692853522763236,1.7560351813457462,1.4254021096229552,1.2847490310668945,0.07899272382652522,0.5559994339942932,3.3959541115164757,0.007999630644917488,0.0,0.045777669567614795,0.00635950479706705,0.0,0.0,0.523636538988528,6.155302721858025,1.0,0.0,0.004577766957227141,3.0836595630645753,0.0069239637814462185,0.0,0.05168038114905357,0.008903960051400168,0.0,0.0,0.5652705612746586,6.870341773033142,1.0,0.0,0.005168038159608841
5.0,3.2328821939229964,3.228320619580794,0.24439384318284366,0.24419989792012464,1.7967527986845586,1.436216962635517,1.2122132778167725,-0.0721595314775958,-0.08997475892305375,3.2936342334747315,3.2885024056641163,0.5013208876720794,0.45212528167401556,1.813422842489891,1.40687637090683,1.1290907859802246,0.01781160136457338,-0.798827497959137,3.228320599794388,0.007863645441830158,0.0,0.04561613652855158,0.006991117972124331,0.0,0.0,0.545183139298095,6.151965318322182,1.0,0.0,0.0045616136374883355,3.288502407073975,0.010335398837924004,0.0,0.051318630278110504,0.00974726866972653,0.0,0.0,0.5922992848241107,5.515514841079712,1.0,0.0,0.005131862983107567
6.0,3.65573681473732,3.651162875964462,0.21587085216545515,0.19210499954973917,1.91080163176727,1.5245382091403008,1.2781901359558105,-0.2125899313404509,-0.12411758989095688,3.1682505130767824,3.1631061130013127,0.46600131294242914,0.4374596831231795,1.7785123314167133,1.4483655381202698,1.244741439819336,0.05526414622911813,0.7173581719398499,3.651162866950035,0.00810679979622364,0.0,0.04573932526633143,0.00649461951274583,0.0,0.0,0.5369280828548194,6.117822487354278,1.0,0.0,0.004573932529892772,3.1631061172485353,0.007401046808809042,0.0,0.051444172859191895,0.009421384076552176,0.0,0.0,0.5826797865753885,7.031700510978698,1.0,0.0,0.0051444172859191895
7.0,3.3560131722688675,3.3514474891259978,0.2721070590591996,0.2523249721298929,1.8306959029631322,1.4477362155914306,1.2326819896697998,-0.11305127127666714,-0.1527514511346817,3.300682535171509,3.2955051525881,0.471607748839374,0.47073330994985135,1.8153526248605532,1.422555582523346,1.193897008895874,0.01572006669655257,-0.8235284686088562,3.351447497010231,0.007972865365445614,0.0,0.04565690841525793,0.006694130908782096,0.0,0.0,0.5392894202423718,6.089188626110554,0.9999809949267634,0.0,0.004565690857125446,3.295505199432373,0.006674572359770536,0.0,0.051773113310337064,0.009369346367667142,0.0,0.0,0.5664905936562765,5.490813870429992,1.0,0.0,0.005177311338484287
8.0,3.097418477535248,3.092856135758323,0.31479003370475894,0.29440876525305903,1.7586517949151625,1.3957116883993148,1.1671674251556396,-0.027170339070237803,-0.09050455391407013,3.0814699649810793,3.0763762278582765,0.5046323268719312,0.5083694122865304,1.753960155721411,1.4382604193687438,1.2747538089752197,0.08116806129262855,0.7612285780906677,3.092856156826019,0.007865829393267632,0.0,0.04562323335558176,0.0070350330137045995,0.0,0.0,0.548022270534495,6.151435523331165,1.0,0.0,0.004562323321588338,3.0763762474060057,0.00852906983345747,0.0,0.050937260389328005,0.01133925317026862,0.0,0.0,0.626602672847037,7.075570917129516,1.0,0.0,0.005093726050108671
9.0,3.380224823355675,3.3756605407894527,0.23098900510516923,0.21638926049821453,1.8372970747240231,1.471822177171707,1.289569616317749,-0.12109268264382944,-0.09910941958427429,2.758321876525879,2.7531312583630934,0.49737498349555115,0.46163031772332996,1.6592562364996835,1.3352508425712586,1.1641781330108643,0.17771275543929876,-0.4334014916419983,3.3756605273485185,0.007987714372575283,0.0,0.045643215905874966,0.007083356846711376,0.0,0.0,0.5472226510728423,6.142830657660961,0.9999983230817733,0.0,0.004564321602229029,2.753131265640259,0.006036488339304924,0.0,0.051906125396490095,0.00947957135734346,0.0,0.0,0.5910389498854607,5.88094084739685,1.0,0.0,0.005190612524747848
10.0,3.05839372754097,3.0538517004591137,0.3375798318542956,0.33595182739492735,1.7475273103614473,1.3868559968471528,1.152005910873413,-0.014216552255415849,-0.1271407437324524,2.5669326114654543,2.5618057601505684,0.49468537292435427,0.4754498240500793,1.6005642005713387,1.2863651251792907,1.1687037944793701,0.2348566043791127,-0.1267876935005188,3.0538516825437547,0.007869230583310127,0.0,0.045420412346720694,0.007993465559695007,0.0,0.0,0.5752141082795531,6.114799333512783,1.0,0.0,0.004542041234672069,2.5618057918548582,0.007137882523238659,0.0,0.05126826822757721,0.0106403643177231,0.0,0.0,0.6266522507406977,6.18755464553833,1.0,0.0,0.0051268268004059795
