epoch,train_loss,train_mse,train_pcc,train_spearman,train_rmse,train_mae,train_median_absolute_error,train_r2,train_bias,val_loss,val_mse,val_pcc,val_spearman,val_rmse,val_mae,val_median_absolute_error,val_r2,val_bias,train_mean_prediction,val_mean_prediction
1.0,7.560740606188774,7.560740496342232,0.0913697674981625,0.09212237745997556,2.749680071634195,2.1047095661005004,1.6222169399261475,-1.419992560356628,-0.9604405315360054,2.961805238723755,2.961805233791186,0.37905756924900386,0.37950392005801775,1.7209896088562493,1.4549508118629455,1.3396124839782715,0.054220772999440614,0.3765100979804993,5.362338791475631,6.402151231765747
2.0,3.62001948595047,3.62001950597661,0.13358586671754935,0.11696700573521376,1.9026348850939871,1.5231141455471515,1.2660043239593506,-0.1586722592909322,-0.015227542370557784,2.7340013122558595,2.734001287224908,0.4775418393186451,0.48495467962317984,1.6534815654324386,1.3641869282722474,1.2554372549057007,0.1269643275158011,-0.42741172552108764,6.307551780641079,5.59822940826416
3.0,3.438089506626129,3.4380895217524046,0.22391872615855768,0.2305594399363764,1.8542085971520046,1.4733651344478131,1.267352819442749,-0.10044129520198153,-0.13794751957058907,2.471749095916748,2.4717490744205595,0.5177241936297026,0.5241574231637935,1.5721797207764001,1.3289733576774596,1.3362561464309692,0.2107080836127525,0.04114832639694214,6.184831803441048,6.06678946018219
4.0,3.2847651588916777,3.2847651578022594,0.2341327314848717,0.23585421522469802,1.8123921092860285,1.4564982940256597,1.228653907775879,-0.05136623168667409,-0.12116813108325004,2.2503320837020873,2.2503320639999704,0.584946647007289,0.59400587484185,1.500110683916347,1.2754018139839172,1.1468102931976318,0.28141212808238414,0.19818107843399047,6.201611191928387,6.223822212219238
5.0,3.2299824488162994,3.2299824487158975,0.28184870128439876,0.28489987257719246,1.797215192656655,1.4288081432878972,1.1760387420654297,-0.03383173906795234,-0.11858933910727501,2.0472644805908202,2.0472644609671966,0.5943895953163799,0.5971502553125804,1.4308264957594252,1.209188380241394,1.1066749095916748,0.34625674326302347,0.10637747764587402,6.204189983904362,6.132018611431122
6.0,3.0750739055871965,3.0750739013836283,0.34629057980261013,0.33082360506550634,1.7535888632697314,1.400976852029562,1.186518669128418,0.015750379543457482,-0.047520704418420795,1.9982090425491332,1.9982090368925793,0.6126749347331352,0.5749955745913274,1.4135802194755624,1.1911886477470397,1.1833271980285645,0.36192137932084034,-0.046751682758331296,6.275258618593216,5.978889451026917
7.0,3.1921993511915208,3.1921993830859354,0.3481972908629933,0.3299447734075628,1.7866727129180473,1.4217994387447834,1.2231593132019043,-0.021738381575230115,-0.09631549403071403,2.1078663635253907,2.1078663571925706,0.6742721125901138,0.6544391872859829,1.4518492887323293,1.2278537058830261,1.1055290699005127,0.3269050269810463,0.5171685767173767,6.226463828980923,6.542809710502625
8.0,2.929381901025772,2.929381897828662,0.4003550867808344,0.38654765879349173,1.7115437177672856,1.379813240021467,1.197317361831665,0.062382526867788,-0.1063641406595707,2.240429401397705,2.240429395715965,0.663473931525519,0.6338927011566302,1.496806398875942,1.2384000515937805,1.0841846466064453,0.28457430020904395,0.6154212784767151,6.216415182352066,6.641062412261963
9.0,2.7057105892896653,2.7057105647853152,0.45431654237617386,0.43672561479324423,1.6449044242099038,1.3251563377678395,1.126840353012085,0.1339737899447061,-0.026167113035917282,1.7642705726623535,1.7642705986552694,0.7020263496620567,0.686393053710867,1.328258483374102,1.1095638585090637,1.020636796951294,0.4366238319863691,0.2784135937690735,6.296612209975719,6.3040547275543215
10.0,2.661605524420738,2.6616055081913306,0.4574527569477307,0.43639986594207336,1.6314427688985387,1.3058511336147784,1.1241168975830078,0.14809064911784875,-0.042498726695775986,1.747482168674469,1.7474821848876565,0.6851407216860215,0.6842988003057431,1.3219236683287188,1.082589204311371,0.9583358764648438,0.4419847965813887,0.1482667899131775,6.280280596315861,6.173907923698425
