bin,count,mean_prediction,mean_true,calibration_error
1,10,4.178543519973755,4.532982683181762,-0.3544391632080073
2,10,4.789809226989746,5.407266569137573,-0.6174573421478273
3,10,5.0171576023101805,5.459297037124633,-0.44213943481445295
4,10,5.297042560577393,5.708287692070007,-0.4112451314926142
5,10,5.642567157745361,6.2754436254501345,-0.6328764677047731
6,10,5.868044185638428,6.3958128690719604,-0.5277686834335329
7,10,6.10007495880127,5.772302341461182,0.3277726173400879
8,10,6.311615705490112,6.671353173255921,-0.3597374677658083
9,10,6.687076902389526,6.874477863311768,-0.18740096092224157
10,10,6.987841653823852,7.4913746356964115,-0.5035329818725591
