bin,count,mean_prediction,mean_true,calibration_error
1,10,4.560188722610474,4.735626423358918,-0.17543770074844378
2,10,4.9104029655456545,5.995029425621032,-1.0846264600753779
3,10,5.218984794616699,6.3777669906616214,-1.158782196044922
4,10,5.479393386840821,5.452793860435486,0.026599526405334473
5,10,5.8463897705078125,6.713750910758972,-0.8673611402511598
6,10,6.119775438308716,6.613309240341186,-0.49353380203247
7,10,6.277774000167847,7.240914916992187,-0.9631409168243401
8,10,6.594748783111572,7.168295288085938,-0.5735465049743658
9,10,6.902592754364013,6.742775297164917,0.15981745719909668
10,10,7.521272277832031,8.828943061828614,-1.307670783996583
