bin,count,mean_prediction,mean_true,calibration_error
1,10,3.9610162019729613,4.62889176607132,-0.6678755640983582
2,10,5.035502576828003,5.2205558776855465,-0.18505330085754323
3,10,5.400940418243408,6.623765373229981,-1.2228249549865726
4,10,5.729573678970337,5.373505425453186,0.3560682535171509
5,10,6.0519139766693115,5.749382829666137,0.3025311470031742
6,10,6.39622311592102,6.997292947769165,-0.6010698318481449
7,10,6.655637311935425,6.706174993515015,-0.05053768157959038
8,10,6.965837574005127,7.218576908111572,-0.25273933410644567
9,10,7.288902378082275,7.501142168045044,-0.21223978996276927
10,10,7.9024927616119385,8.149437808990479,-0.2469450473785404
