bin,count,mean_prediction,mean_true,calibration_error
1,10,4.348383355140686,4.886638545989991,-0.5382551908493047
2,10,4.873946857452393,4.921829795837402,-0.04788293838500923
3,10,5.107362604141235,5.751605653762818,-0.6442430496215827
4,10,5.402482604980468,5.547759985923767,-0.14527738094329834
5,10,5.725174617767334,5.999735546112061,-0.27456092834472656
6,10,6.014694690704346,6.584484338760376,-0.5697896480560303
7,10,6.21523003578186,6.2754956722259525,-0.06026563644409233
8,10,6.429992389678955,6.20386312007904,0.22612926959991508
9,10,6.773141574859619,6.942444324493408,-0.16930274963378888
10,10,6.9681143283844,7.474741506576538,-0.5066271781921383
