bin,count,mean_prediction,mean_true,calibration_error
1,10,4.199092674255371,4.82435816526413,-0.6252654910087587
2,10,4.797916126251221,4.801272392272949,-0.003356266021728338
3,10,5.105362892150879,6.774166369438172,-1.6688034772872928
4,10,5.466886043548584,6.509980630874634,-1.04309458732605
5,10,5.832230854034424,5.920025587081909,-0.08779473304748553
6,10,6.2036885738372805,6.1684427738189695,0.0352458000183109
7,10,6.6544859409332275,7.572439289093017,-0.9179533481597897
8,10,7.038349723815918,7.547374057769775,-0.5090243339538576
9,10,7.447413969039917,7.016775155067444,0.4306388139724726
10,10,8.616971874237061,8.734370994567872,-0.1173991203308109
