bin,count,mean_prediction,mean_true,calibration_error
1,10,4.844994592666626,4.858337020874023,-0.013342428207397283
2,10,5.5204160690307615,6.22535548210144,-0.7049394130706785
3,10,5.7952875137329105,6.1978374242782595,-0.40254991054534894
4,10,6.044187831878662,5.779835414886475,0.26435241699218714
5,10,6.204594135284424,6.22573938369751,-0.021145248413086293
6,10,6.445209407806397,6.5856942415237425,-0.14048483371734566
7,10,6.669156217575074,6.111553907394409,0.5576023101806644
8,10,6.825038242340088,5.754209661483765,1.0708285808563227
9,10,7.059589481353759,7.777682209014893,-0.7180927276611335
10,10,7.62836709022522,6.865781593322754,0.7625854969024664
