bin,count,mean_prediction,mean_true,calibration_error
1,10,4.690590763092041,4.650500750541687,0.040090012550354714
2,10,5.207342910766601,5.3948363065719604,-0.18749339580535906
3,10,5.42801947593689,5.345737910270691,0.08228156566619926
4,10,5.7453327655792235,6.167658424377441,-0.4223256587982176
5,10,6.036866283416748,6.021615123748779,0.01525115966796875
6,10,6.212820386886596,6.733264636993408,-0.5204442501068121
7,10,6.434584283828736,6.033110427856445,0.40147385597229057
8,10,6.6957314014434814,6.353177928924561,0.34255347251892054
9,10,7.020811653137207,6.664730906486511,0.35608074665069545
10,10,7.231111717224121,7.223966073989868,0.00714564323425293
