bin,count,mean_prediction,mean_true,calibration_error
1,10,4.798877477645874,4.647537350654602,0.15134012699127197
2,10,5.365311622619629,5.294070553779602,0.07124106884002668
3,10,5.666741609573364,5.069843053817749,0.5968985557556152
4,10,5.994344043731689,6.103128743171692,-0.1087846994400028
5,10,6.178023195266723,5.444114708900452,0.7339084863662713
6,10,6.409997940063477,6.4911706924438475,-0.08117275238037092
7,10,6.700110006332397,6.2370272397995,0.4630827665328976
8,10,6.9181595802307125,6.839819431304932,0.0783401489257809
9,10,7.1819416046142575,6.907695841789246,0.2742457628250117
10,10,7.693476343154908,7.5541908740997314,0.13928546905517614
