bin,count,mean_prediction,mean_true,calibration_error
1,10,4.545220494270325,5.25620698928833,-0.7109864950180054
2,10,5.142897748947144,4.085042643547058,1.057855105400086
3,10,5.508373403549195,5.379901981353759,0.12847142219543528
4,10,5.808769035339355,6.4237120151519775,-0.6149429798126222
5,10,6.074547958374024,5.572142100334167,0.5024058580398565
6,10,6.343220376968384,6.545324540138244,-0.20210416316986013
7,10,6.558895683288574,6.445431518554687,0.11346416473388654
8,10,6.935470914840698,6.15394160747528,0.7815293073654175
9,10,7.331372499465942,6.812986421585083,0.5183860778808596
10,10,7.782988500595093,7.913908672332764,-0.1309201717376709
