bin,count,mean_prediction,mean_true,calibration_error
1,10,4.148761224746704,5.060542345046997,-0.9117811203002928
2,10,4.836518812179565,5.392834925651551,-0.5563161134719854
3,10,5.204123687744141,5.0752445459365845,0.12887914180755633
4,10,5.46103835105896,6.195303153991699,-0.7342648029327394
5,10,5.63780026435852,5.621664190292359,0.016136074066161576
6,10,5.927225065231323,5.705825614929199,0.22139945030212438
7,10,6.28658766746521,6.82630934715271,-0.5397216796875002
8,10,6.6922811508178714,7.233675289154053,-0.5413941383361811
9,10,7.09960970878601,7.424391078948974,-0.32478137016296404
10,10,7.996695947647095,7.846235847473144,0.15046010017395073
