epoch,train_loss,train_mse,train_pcc,train_spearman,train_rmse,train_mae,train_median_absolute_error,train_r2,train_bias,val_loss,val_mse,val_pcc,val_spearman,val_rmse,val_mae,val_median_absolute_error,val_r2,val_bias,train_mean_prediction,val_mean_prediction
1.0,5.334595001935959,5.334595020461735,-0.0034924083529670512,0.016183625273494765,2.3096742238813106,1.78109013652429,1.4206504821777344,-0.7074624196238997,-0.10513205414637923,4.516263828277588,4.51626381161555,0.3681394385557277,0.3578533003282559,2.125150303299875,1.767610456943512,1.5990848541259766,-0.4421571168651319,1.2576896691322326,6.2176472688652575,7.28333080291748
2.0,3.877619831562042,3.8776198044276167,0.1244989150006517,0.12178717934984509,1.9691672870600956,1.563795535415411,1.3274800777435303,-0.2411232845706206,-0.02432413712143898,2.77737624168396,2.7773762977435585,0.4955738526149656,0.48606481394967815,1.6665462183040585,1.4099568963050841,1.4005987644195557,0.11311359099489915,0.09094888925552368,6.298455185890198,6.1165900230407715
3.0,3.794655196070671,3.79465522280765,0.16195685399897203,0.19299838370575956,1.9479874801465358,1.5256396658718585,1.272817850112915,-0.2145685217943354,-0.07444156870245934,3.222168893814087,3.2221688301017166,0.5855923404646176,0.5742934896388934,1.7950400636480837,1.476416027545929,1.363429307937622,-0.0289199001441669,0.9730467247962952,6.248337754309177,6.998687858581543
4.0,3.7591880968213083,3.759188090757039,0.2121799909188976,0.2026820086451123,1.9388625765528198,1.5424537746608258,1.3065762519836426,-0.20321643323354288,0.06258108541369438,2.204118390083313,2.2041184328997048,0.5746628431733413,0.5867269940956745,1.4846273717332927,1.2548699355125428,1.1391404867172241,0.2961693078591755,0.002668936252593994,6.385360408425331,6.028310070037842
5.0,3.491196459531784,3.4911964480434845,0.24871183402656166,0.23993911308406746,1.8684743637640535,1.5026500169932842,1.2857537269592285,-0.11743941418120074,-0.11733253076672553,2.7103012466430663,2.710301279712149,0.6289319078555566,0.6163885831544919,1.6462992679680535,1.364450991153717,1.2199180126190186,0.13453233858202285,0.7858140873908996,6.205446792244911,6.811455221176147
6.0,3.291325621008873,3.291325639709396,0.2928144870270013,0.2927258489792963,1.814201102333861,1.4411981181800366,1.2083532810211182,-0.053466067994413446,-0.01937089756131172,1.932490472793579,1.9324904714482989,0.6440657190314129,0.6303462720379247,1.3901404502597206,1.1822186517715454,1.1231293678283691,0.38290697733260326,-0.13864701747894287,6.303408425450325,5.886994116306305
7.0,3.080719547867775,3.0807195214853267,0.3537534381581994,0.34194603330066586,1.7551978582157985,1.3817248837649823,1.12788724899292,0.01394336624214021,-0.10647461667656899,2.9318895053863527,2.9318895228034494,0.6171716395165903,0.6360049567400216,1.7122761234110138,1.3867377543449402,1.2062187194824219,0.06377361519525815,0.9545005583763122,6.216304706335068,6.98014169216156
8.0,2.9710944843292237,2.9710945124340684,0.3618048390781223,0.3454907526584684,1.7236863149755726,1.385701521486044,1.1901051998138428,0.04903142493975221,-0.054712820798158646,2.342980008125305,2.342979996509037,0.6082380877087448,0.6011227359836177,1.5306795864938676,1.2752054572105407,1.110321044921875,0.25182730292510547,0.6005443358421325,6.268066502213478,6.62618546962738
9.0,2.76632698237896,2.766326975941124,0.4268982682565717,0.4269232193172647,1.6632278785365293,1.3389416055381298,1.146574854850769,0.11457208397376961,-0.07220204189419746,2.0072480201721192,2.0072480198396105,0.6091879678017947,0.6139882927188197,1.416773806872364,1.1953081965446473,1.1625850200653076,0.35903500373915775,0.17320945978164673,6.250577281117439,6.1988505935668945
10.0,2.6752995002269744,2.6752995013162955,0.44976261576256077,0.44112851534446434,1.6356342810409348,1.298778205960989,1.0858068466186523,0.14370756501384807,-0.14672999277710916,2.002246742248535,2.00224676990652,0.6080256801169321,0.6085396334298442,1.4150076925255635,1.1928911900520325,1.13588285446167,0.360632029175466,0.16298537969589233,6.176049330234528,6.1886265134811405
